id,state,cwa,name,lon,lat,poi_dist_mi,method,polygons,vertices
CAZ006,CA,MTR,"San Francisco",-122.45103,37.75511,3.09,poi,12,600
CAZ121,CA,STO,"Western Shasta County Mountains Above 3000 ft",-122.47669,41.05382,2.4,poi,3,6354
CAZ122,CA,STO,"Western Shasta County Foothills Between 1000-3000 ft",-122.7975,40.40558,3.31,poi,1,5221
CAZ123,CA,STO,"Shasta Lake Area and Interstate 5 Between 1000-3000 ft",-122.16248,40.82041,7.27,poi,1,6460
CAZ124,CA,STO,"South-Central Shasta County Including Redding Metro",-122.27392,40.52336,9.27,poi,1,4399
CAZ125,CA,STO,"Eastern Shasta County Foothills Between 1000-3000 ft",-121.93085,40.60928,4.37,poi,1,1532
CAZ126,CA,STO,"Eastern Shasta County Mountains and Southern Cascades Above 3000 ft",-121.719,40.5397,6.17,poi,2,3644
CAZ127,CA,STO,"Burney Basin",-121.53708,40.83614,11.16,poi,1,789
CAZ128,CA,STO,"Lassen Volcanic National Park",-121.41458,40.48856,4.6,poi,1,83
CAZ129,CA,STO,"Sierra Nevada of Tehama-Butte-Plumas Counties Between 1000-3000 ft",-121.91519,40.34007,4.99,poi,1,9144
CAZ130,CA,STO,"Sierra Nevada of Tehama-Butte-Plumas Counties Above 3000 ft",-121.35634,40.22488,12.61,poi,1,5377
CAZ131,CA,STO,"Northern Motherlode Between 1000-3000 ft",-121.03368,39.11405,7.11,poi,1,6057
CAZ132,CA,STO,"Sierra Nevada of Yuba-Sierra-Nevada-Placer Counties Between 3000-5000 ft Including Interstate 80",-120.78877,39.28821,3.57,poi,1,7736
CAZ133,CA,STO,"Sierra Nevada of Sierra-Nevada-Placer Counties Above 5000 ft Including Interstate 80",-120.48405,39.35865,7.04,poi,1,3727
CAZ134,CA,STO,"Central Motherlode Between 1000-3000 ft",-120.70942,38.42885,5.54,poi,1,6285
CAZ135,CA,STO,"Sierra Nevada of El Dorado and Amador Counties Between 3000-5000 ft Including Highway 50",-120.47642,38.51721,3.79,poi,1,5104
CAZ136,CA,STO,"Sierra Nevada of El Dorado-Amador-Northern Alpine Counties Above 5000 ft Including Highway 50",-120.1657,38.62162,7.84,poi,1,2158
CAZ137,CA,STO,"Southern Motherlode Between 1000-3000 ft",-120.5037,38.05789,7.32,poi,1,7988
CAZ138,CA,STO,"Sierra Nevada of Calaveras and Tuolumne Counties Between 3000-5000 ft",-119.92723,37.82118,3.03,poi,1,5745
CAZ139,CA,STO,"Sierra Nevada of Calaveras-Tuolumne-Southern Alpine Counties Above 5000 ft",-119.81252,38.23886,9.42,poi,1,2418
CAZ140,CA,STO,"Tehama County Coast Range Above 3000 ft",-122.8119,40.00297,5.54,poi,1,1625
CAZ141,CA,STO,"Western Tehama County Foothills Between 1000-3000 ft",-122.685,40.1609,4.06,poi,1,5653
CAZ142,CA,STO,"Northern Sacramento Valley in Tehama County",-122.25546,40.00138,13.87,poi,1,6129
CAZ143,CA,STO,"Glenn and Colusa County Coast Range Above 3000 ft",-122.82558,39.63527,3.47,poi,1,1878
CAZ144,CA,STO,"Central Glenn County Including Interstate 5",-122.33425,39.67119,8.8,poi,1,2247
CAZ145,CA,STO,"Eastern Glenn County",-122.07936,39.49257,5.29,poi,1,209
CAZ146,CA,STO,"Butte County Below 1000 ft",-121.66162,39.47884,11.05,poi,1,2632
CAZ147,CA,STO,"Western Glenn and Colusa County Foothills Between 1000-3000 ft",-122.51916,39.36276,4.32,poi,1,6036
CAZ148,CA,STO,"Central Colusa County Including Interstate 5",-122.19063,39.06926,5.73,poi,1,1976
CAZ149,CA,STO,"Eastern Colusa County",-122.05388,39.29447,6.44,poi,1,213
CAZ150,CA,STO,"Sutter and Yuba Counties Below 1000 ft",-121.57814,39.10254,13.51,poi,1,1743
CAZ151,CA,STO,"Capay Hills of Yolo County and Vaca Hills of Solano County",-122.3503,38.87465,2.25,poi,6,3143
CAZ152,CA,STO,"Western Yolo County Including Capay Valley and Interstate 505",-122.02141,38.82204,4.93,poi,1,1939
CAZ153,CA,STO,"Central Yolo and Northeast Solano Counties Including Woodland and Davis",-121.82041,38.71521,6.84,poi,1,135
CAZ154,CA,STO,"Sacramento Metro and Western El Dorado and Amador Counties",-121.32898,38.50841,17.68,poi,1,3911
CAZ155,CA,STO,"Central Solano County Including Fairfield and Vacaville",-121.77417,38.2328,6.76,poi,2,901
CAZ156,CA,STO,"Southwestern Solano County Including Vallejo",-122.02949,38.18564,3.5,poi,18,1556
CAZ157,CA,STO,"Sacramento County Delta",-121.5443,38.25554,3.03,poi,10,781
CAZ158,CA,STO,"San Joaquin County Delta",-121.47448,37.97658,5.09,poi,1,214
CAZ159,CA,STO,"Central San Joaquin County Including Stockton Metro",-121.16435,38.05396,12.43,poi,1,410
CAZ160,CA,STO,"Tracy Triangle Below 1000 ft",-121.42973,37.74406,6.64,poi,1,887
CAZ161,CA,STO,"Northeastern San Joaquin Valley Below 1000 ft",-120.6328,37.80484,5.06,poi,1,4445
CAZ162,CA,STO,"Eastern Diablo Range Above 1000 ft",-121.39983,37.47196,3.74,poi,4,3960
CAZ163,CA,STO,"Western Stanislaus County Below 1000 ft Including Interstate 5",-121.09164,37.37134,5.51,poi,1,3497
CAZ164,CA,STO,"Central Stanislaus County Including Modesto Metro",-120.92549,37.5891,10.22,poi,1,617
CAZ226,CA,VEF,"Owens Valley/Southern Inyo Forest",-118.01574,36.36905,14.62,poi,1,617
CAZ227,CA,VEF,"Death Valley National Park",-117.08837,36.26683,32.52,poi,1,124
CAZ228,CA,VEF,"Mojave Desert Including Morongo Valley/Yucca Valley",-115.58806,34.80133,47.2,poi,1,246
